community,year,units
Midway,2016,NA
Midway,2017,NA
Midway,2018,NA
Mission,2016,NA
Mission,2017,NA
Mission,2018,NA
Montrose,2016,NA
Montrose,2017,NA
Montrose,2018,NA
Nakusp,2016,NA
Nakusp,2017,NA
Nakusp,2018,NA
Nanaimo,2016,62
Nanaimo,2017,282
Nanaimo,2018,435
Nelson,2016,NA
Nelson,2017,12
Nelson,2018,NA
New Denver,2016,NA
New Denver,2017,NA
New Denver,2018,NA
New Hazelton,2016,NA
New Hazelton,2017,NA
New Hazelton,2018,NA
New Westminster,2016,735
New Westminster,2017,44
New Westminster,2018,11
North Cowichan**,2016,NA
North Cowichan**,2017,NA
North Cowichan**,2018,64
North Saanich,2016,NA
North Saanich,2017,NA
North Saanich,2018,NA
North Vancouver **,2016,140
North Vancouver **,2017,981
North Vancouver **,2018,NA
Northern Rockies,2016,NA
Northern Rockies,2017,NA
Northern Rockies,2018,NA
Oak Bay,2016,NA
Oak Bay,2017,NA
Oak Bay,2018,NA
Oliver,2016,NA
Oliver,2017,NA
Oliver,2018,NA
Osoyoos,2016,NA
Osoyoos,2017,NA
Osoyoos,2018,NA
Parksville,2016,NA
Parksville,2017,55
Parksville,2018,137
Peachland,2016,NA
Peachland,2017,NA
Peachland,2018,NA
Pemberton,2016,45
Pemberton,2017,NA
Pemberton,2018,NA
Penticton,2016,115
Penticton,2017,287
Penticton,2018,14
Pitt Meadows,2016,NA
Pitt Meadows,2017,NA
Pitt Meadows,2018,NA
Port Alberni,2016,24
Port Alberni,2017,NA
Port Alberni,2018,20
Port Alice,2016,NA
Port Alice,2017,NA
Port Alice,2018,NA
Port Clements,2016,NA
Port Clements,2017,NA
Port Clements,2018,NA
Port Coquitlam,2016,268
Port Coquitlam,2017,NA
Port Coquitlam,2018,NA
Port Edward,2016,NA
Port Edward,2017,NA
Port Edward,2018,NA
Port Hardy,2016,NA
Port Hardy,2017,5
Port Hardy,2018,NA
Port McNeill,2016,NA
Port McNeill,2017,NA
Port McNeill,2018,NA
Port Moody,2016,NA
Port Moody,2017,NA
Port Moody,2018,55
Pouce Coupe,2016,NA
Pouce Coupe,2017,NA
Pouce Coupe,2018,NA
Powell River,2016,NA
Powell River,2017,NA
Powell River,2018,NA
Prince George,2016,NA
Prince George,2017,31
Prince George,2018,153
Prince Rupert,2016,NA
Prince Rupert,2017,NA
Prince Rupert,2018,NA
Princeton,2016,NA
Princeton,2017,NA
Princeton,2018,NA
Qualicum Beach,2016,NA
Qualicum Beach,2017,NA
Qualicum Beach,2018,NA
Queen Charlotte,2016,NA
Queen Charlotte,2017,NA
Queen Charlotte,2018,NA
Quesnel,2016,NA
Quesnel,2017,70
Quesnel,2018,NA
Radium Hot Springs,2016,NA
Radium Hot Springs,2017,NA
Radium Hot Springs,2018,NA
Revelstoke,2016,NA
Revelstoke,2017,NA
Revelstoke,2018,NA
Richmond,2016,NA
Richmond,2017,5
Richmond,2018,NA
Rossland,2016,NA
Rossland,2017,NA
Rossland,2018,NA
Saanich,2016,56
Saanich,2017,NA
Saanich,2018,NA
Salmo,2016,NA
Salmo,2017,NA
Salmo,2018,NA
Salmon Arm,2016,NA
Salmon Arm,2017,NA
Salmon Arm,2018,NA
Sayward,2016,NA
Sayward,2017,NA
Sayward,2018,NA
Sechelt,2016,NA
Sechelt,2017,NA
Sechelt,2018,NA
Sechelt Indian Government,2016,NA
Sechelt Indian Government,2017,NA
Sechelt Indian Government,2018,NA
Sicamous,2016,NA
Sicamous,2017,NA
Sicamous,2018,NA
Sidney,2016,NA
Sidney,2017,NA
Sidney,2018,NA
Silverton,2016,NA
Silverton,2017,NA
Silverton,2018,NA
Slocan,2016,NA
Slocan,2017,8
Slocan,2018,NA
Smithers,2016,NA
Smithers,2017,19
Smithers,2018,NA
Sooke,2016,NA
Sooke,2017,NA
Sooke,2018,42
Spallumcheen,2016,NA
Spallumcheen,2017,NA
Spallumcheen,2018,NA
Sparwood,2016,NA
Sparwood,2017,NA
Sparwood,2018,NA
Squamish,2016,82
Squamish,2017,NA
Squamish,2018,132
Stewart,2016,NA
Stewart,2017,NA
Stewart,2018,NA
Summerland,2016,NA
Summerland,2017,NA
Summerland,2018,NA
Sun Peaks,2016,NA
Sun Peaks,2017,NA
Sun Peaks,2018,NA
Surrey,2016,232
Surrey,2017,620
Surrey,2018,73
Tahsis,2016,NA
Tahsis,2017,NA
Tahsis,2018,NA
Taylor,2016,NA
Taylor,2017,NA
Taylor,2018,NA
Telkwa,2016,NA
Telkwa,2017,NA
Telkwa,2018,NA
Terrace,2016,NA
Terrace,2017,45
Terrace,2018,NA
Tofino,2016,NA
Tofino,2017,NA
Tofino,2018,NA
Trail,2016,NA
Trail,2017,NA
Trail,2018,NA
Tumbler Ridge,2016,NA
Tumbler Ridge,2017,NA
Tumbler Ridge,2018,NA
Ucluelet,2016,NA
Ucluelet,2017,NA
Ucluelet,2018,15
Valemount,2016,NA
Valemount,2017,NA
Valemount,2018,NA
Vancouver,2016,1537
Vancouver,2017,2133
Vancouver,2018,2069
Vanderhoof,2016,NA
Vanderhoof,2017,NA
Vanderhoof,2018,NA
Vernon,2016,NA
Vernon,2017,110
Vernon,2018,307
Victoria,2016,164
Victoria,2017,1312
Victoria,2018,367
View Royal,2016,NA
View Royal,2017,81
View Royal,2018,NA
Warfield,2016,NA
Warfield,2017,NA
Warfield,2018,NA
Wells,2016,NA
Wells,2017,NA
Wells,2018,NA
West Kelowna**,2016,NA
West Kelowna**,2017,243
West Kelowna**,2018,NA
West Vancouver,2016,NA
West Vancouver,2017,NA
West Vancouver,2018,NA
Whistler,2016,NA
Whistler,2017,27
Whistler,2018,44
White Rock,2016,NA
White Rock,2017,198
White Rock,2018,NA
Williams Lake,2016,NA
Williams Lake,2017,NA
Williams Lake,2018,39
Zeballos,2016,NA
Zeballos,2017,NA
Zeballos,2018,NA
